,Quantity,InvoiceDate,Category
28,20,2010-12-01 08:45:00,Storage/Laundry bags
72,10,2010-12-01 09:37:00,Storage/Laundry bags
80,10,2010-12-01 09:37:00,Storage/Laundry bags
81,10,2010-12-01 09:37:00,Storage/Laundry bags
82,10,2010-12-01 09:37:00,Storage/Laundry bags
111,10,2010-12-01 09:41:00,Storage/Laundry bags
122,10,2010-12-01 09:45:00,Storage/Laundry bags
142,10,2010-12-01 09:56:00,Storage/Laundry bags
284,4,2010-12-01 11:21:00,Storage/Laundry bags
377,12,2010-12-01 11:41:00,Storage/Laundry bags
408,1,2010-12-01 11:45:00,Storage/Laundry bags
417,1,2010-12-01 11:45:00,Storage/Laundry bags
418,1,2010-12-01 11:45:00,Storage/Laundry bags
424,2,2010-12-01 11:45:00,Storage/Laundry bags
447,1,2010-12-01 11:49:00,Storage/Laundry bags
463,7,2010-12-01 11:49:00,Storage/Laundry bags
667,1,2010-12-01 12:23:00,Storage/Laundry bags
676,1,2010-12-01 12:23:00,Storage/Laundry bags
693,1,2010-12-01 12:23:00,Storage/Laundry bags
738,1,2010-12-01 12:31:00,Storage/Laundry bags
768,1,2010-12-01 12:31:00,Storage/Laundry bags
807,3,2010-12-01 12:43:00,Storage/Laundry bags
809,1,2010-12-01 12:43:00,Storage/Laundry bags
815,1,2010-12-01 12:43:00,Storage/Laundry bags
817,2,2010-12-01 12:43:00,Storage/Laundry bags
843,16,2010-12-01 12:43:00,Storage/Laundry bags
876,1,2010-12-01 12:49:00,Storage/Laundry bags
935,10,2010-12-01 13:04:00,Storage/Laundry bags
940,10,2010-12-01 13:04:00,Storage/Laundry bags
1149,8,2010-12-01 13:51:00,Storage/Laundry bags
1157,2,2010-12-01 13:54:00,Storage/Laundry bags
1188,5,2010-12-01 14:03:00,Storage/Laundry bags
1210,4,2010-12-01 14:05:00,Storage/Laundry bags
1215,6,2010-12-01 14:05:00,Storage/Laundry bags
1216,6,2010-12-01 14:05:00,Storage/Laundry bags
1217,50,2010-12-01 14:05:00,Storage/Laundry bags
1220,20,2010-12-01 14:11:00,Storage/Laundry bags
1221,30,2010-12-01 14:11:00,Storage/Laundry bags
1222,20,2010-12-01 14:11:00,Storage/Laundry bags
1223,40,2010-12-01 14:11:00,Storage/Laundry bags
1225,20,2010-12-01 14:11:00,Storage/Laundry bags
1226,20,2010-12-01 14:11:00,Storage/Laundry bags
1227,30,2010-12-01 14:11:00,Storage/Laundry bags
1231,20,2010-12-01 14:11:00,Storage/Laundry bags
1256,1,2010-12-01 14:32:00,Storage/Laundry bags
1275,1,2010-12-01 14:32:00,Storage/Laundry bags
1379,1,2010-12-01 14:32:00,Storage/Laundry bags
1380,1,2010-12-01 14:32:00,Storage/Laundry bags
1386,2,2010-12-01 14:32:00,Storage/Laundry bags
1401,2,2010-12-01 14:32:00,Storage/Laundry bags
1416,3,2010-12-01 14:32:00,Storage/Laundry bags
1417,2,2010-12-01 14:32:00,Storage/Laundry bags
1449,1,2010-12-01 14:32:00,Storage/Laundry bags
1558,1,2010-12-01 14:32:00,Storage/Laundry bags
1559,1,2010-12-01 14:32:00,Storage/Laundry bags
1587,1,2010-12-01 14:32:00,Storage/Laundry bags
1636,2,2010-12-01 14:32:00,Storage/Laundry bags
1645,9,2010-12-01 14:32:00,Storage/Laundry bags
1646,3,2010-12-01 14:32:00,Storage/Laundry bags
1679,4,2010-12-01 14:34:00,Storage/Laundry bags
1753,4,2010-12-01 14:41:00,Storage/Laundry bags
2015,10,2010-12-01 16:33:00,Storage/Laundry bags
2066,1,2010-12-01 16:57:00,Storage/Laundry bags
2074,1,2010-12-01 16:57:00,Storage/Laundry bags
2103,3,2010-12-01 17:06:00,Storage/Laundry bags
2185,1,2010-12-01 17:06:00,Storage/Laundry bags
2208,1,2010-12-01 17:06:00,Storage/Laundry bags
2244,3,2010-12-01 17:06:00,Storage/Laundry bags
2323,3,2010-12-01 17:06:00,Storage/Laundry bags
2325,2,2010-12-01 17:06:00,Storage/Laundry bags
2368,2,2010-12-01 17:06:00,Storage/Laundry bags
2378,1,2010-12-01 17:06:00,Storage/Laundry bags
2395,1,2010-12-01 17:06:00,Storage/Laundry bags
2396,1,2010-12-01 17:06:00,Storage/Laundry bags
2397,1,2010-12-01 17:06:00,Storage/Laundry bags
2398,1,2010-12-01 17:06:00,Storage/Laundry bags
2437,2,2010-12-01 17:06:00,Storage/Laundry bags
2481,6,2010-12-01 17:06:00,Storage/Laundry bags
2482,2,2010-12-01 17:06:00,Storage/Laundry bags
2487,1,2010-12-01 17:06:00,Storage/Laundry bags
2489,1,2010-12-01 17:06:00,Storage/Laundry bags
2520,1,2010-12-01 17:06:00,Storage/Laundry bags
2535,1,2010-12-01 17:06:00,Storage/Laundry bags
2538,2,2010-12-01 17:06:00,Storage/Laundry bags
2576,1,2010-12-01 17:24:00,Storage/Laundry bags
2584,5,2010-12-01 17:24:00,Storage/Laundry bags
2601,1,2010-12-01 17:35:00,Storage/Laundry bags
2604,4,2010-12-01 17:35:00,Storage/Laundry bags
2605,2,2010-12-01 17:35:00,Storage/Laundry bags
2608,2,2010-12-01 17:35:00,Storage/Laundry bags
2616,8,2010-12-02 07:49:00,Storage/Laundry bags
2672,10,2010-12-02 09:29:00,Storage/Laundry bags
2932,10,2010-12-02 11:02:00,Storage/Laundry bags
2935,10,2010-12-02 11:02:00,Storage/Laundry bags
3011,1,2010-12-02 11:35:00,Storage/Laundry bags
3012,1,2010-12-02 11:35:00,Storage/Laundry bags
3095,1,2010-12-02 11:45:00,Storage/Laundry bags
3127,2,2010-12-02 11:57:00,Storage/Laundry bags
3133,1,2010-12-02 11:57:00,Storage/Laundry bags
3134,2,2010-12-02 11:57:00,Storage/Laundry bags
3135,2,2010-12-02 11:57:00,Storage/Laundry bags
3136,1,2010-12-02 11:57:00,Storage/Laundry bags
3138,4,2010-12-02 11:57:00,Storage/Laundry bags
3193,5,2010-12-02 12:16:00,Storage/Laundry bags
3276,8,2010-12-02 12:47:00,Storage/Laundry bags
3297,16,2010-12-02 12:50:00,Storage/Laundry bags
3304,192,2010-12-02 12:59:00,Storage/Laundry bags
3350,1,2010-12-02 13:14:00,Storage/Laundry bags
3381,1,2010-12-02 13:14:00,Storage/Laundry bags
3458,1,2010-12-02 13:49:00,Storage/Laundry bags
3471,1,2010-12-02 13:49:00,Storage/Laundry bags
3481,1,2010-12-02 13:49:00,Storage/Laundry bags
3486,3,2010-12-02 13:49:00,Storage/Laundry bags
3534,2,2010-12-02 14:09:00,Storage/Laundry bags
3621,6,2010-12-02 14:30:00,Storage/Laundry bags
3624,12,2010-12-02 14:40:00,Storage/Laundry bags
3653,10,2010-12-02 14:47:00,Storage/Laundry bags
3659,10,2010-12-02 14:47:00,Storage/Laundry bags
3662,10,2010-12-02 14:47:00,Storage/Laundry bags
3667,10,2010-12-02 14:47:00,Storage/Laundry bags
3677,8,2010-12-02 14:47:00,Storage/Laundry bags
3696,4,2010-12-02 15:03:00,Storage/Laundry bags
3697,4,2010-12-02 15:03:00,Storage/Laundry bags
3701,4,2010-12-02 15:03:00,Storage/Laundry bags
3723,10,2010-12-02 15:18:00,Storage/Laundry bags
3725,5,2010-12-02 15:18:00,Storage/Laundry bags
3753,100,2010-12-02 15:19:00,Storage/Laundry bags
3774,30,2010-12-02 15:20:00,Storage/Laundry bags
3870,1,2010-12-02 15:46:00,Storage/Laundry bags
3871,1,2010-12-02 15:46:00,Storage/Laundry bags
3877,2,2010-12-02 15:46:00,Storage/Laundry bags
3891,1,2010-12-02 15:46:00,Storage/Laundry bags
3895,1,2010-12-02 15:46:00,Storage/Laundry bags
